名称,吉他最低价格,吉他最低价格货量,截图总货量,吉他货量平均价格,吉他平均价格
光彩合金,585,5802,5802,585.0,585.0
光泽合金,85,23039,98716,694.46,611.67
光滑复合物,609,21387,98773,609.78,609.5
冷却剂,549,11125,22248,549.0,549.0
凝缩液,467,666888,1660189,468.15,468.0
反应金属,1750,147441,158747,1752.92,1770.5
同位素燃料,4999,2771,2771,4999.0,4999.0
基础金属,3649,938,145107,3578.46,2570.33
多样复合物,1216,32725,361903,1217.42,1217.0
工业纤维,140,82934,88471,140.5,144.0
建筑模块,450,85475,175797,436.66,328.67
悬浮等离子,249,55744,152559,106.21,99.0
晶体复合物,692,171567,7746928,122.56,485.0
有毒金属,1787,198222,2656458,1787.93,1787.67
杂色复合物,1470,5773,5773,1470.0,1470.0
活性气体,370,4102202,4139613,370.16,379.0
浓缩合金,598,175442,3716591,599.03,599.0
液化臭氧,630,343524,343524,630.0,630.0
灵巧单元建筑模块,41,25676,6103509,107.58,166.67
硅结构铸材,105,10811,110839,1010.96,785.0
离子溶液,1785,228496,230978,1785.04,1787.0
稀有气体,400,10131,232341,441.41,416.33
等离子体团,9996,3952,33988,9997.12,9997.0
精密合金,123,4257,906795,124.87,124.0
纤维复合物,420,16020691,16293075,420.21,430.0
纳米体,2594,20886,77244,2594.99,2595.0
聚芳酰胺,385,60900,73642,392.79,407.5
贵金属,600,22629,49996,680.67,698.33
超张力塑料,900,269246,737237,701.15,650.0
透光复合物,1001,20205,2034328,1007.94,705.33
重水,97,19657,5969657,98.83,98.0
重金属,886,125604,453515,886.72,886.5
闪光合金,330,12228,8661013,331.0,330.5
黑暗复合物,810,196650,848977,810.77,810.67
